Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-17,Letterboxd's Top 100 Films - Found in Frames,"official, all time, top 500, featured list, stats list, dave vis, highest rated, topprofile",https://boxd.it/TX7zG,

Position,Name,Year,URL,Description
1,Harakiri,1962,https://boxd.it/1NTU,
2,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ,
3,12 Angry Men,1957,https://boxd.it/2auI,
4,Come and See,1985,https://boxd.it/1w9q,
5,Seven Samurai,1954,https://boxd.it/2axi,
6,High and Low,1963,https://boxd.it/1RSc,
7,The Shawshank Redemption,1994,https://boxd.it/2aHi,
8,The Godfather Part II,1974,https://boxd.it/2aNq,
9,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy,
10,City of God,2002,https://boxd.it/2a2a,
11,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
12,Schindler's List,1993,https://boxd.it/2aq2,
13,Yi Yi,2000,https://boxd.it/1vCw,
14,Parasite,2019,https://boxd.it/hTha,
15,The Godfather,1972,https://boxd.it/2aNK,
16,Ikiru,1952,https://boxd.it/251c,
17,Ran,1985,https://boxd.it/1Tlu,
18,Cinema Paradiso,1988,https://boxd.it/1UlA,
19,Le Trou,1960,https://boxd.it/1nSw,
20,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
21,La Haine,1995,https://boxd.it/2as8,
22,A Brighter Summer Day,1991,https://boxd.it/1Luy,
23,Autumn Sonata,1978,https://boxd.it/1Rio,
24,The Dark Knight,2008,https://boxd.it/2b0k,
25,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa,
26,Grave of the Fireflies,1988,https://boxd.it/1RUM,
27,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM,
28,Woman in the Dunes,1964,https://boxd.it/1JNS,
29,There Will Be Blood,2007,https://boxd.it/20Z2,
30,GoodFellas,1990,https://boxd.it/29FA,
31,The Battle of Algiers,1966,https://boxd.it/1IRY,
32,The Cranes Are Flying,1957,https://boxd.it/169Y,
33,I Am Cuba,1964,https://boxd.it/1hUQ,
34,Paths of Glory,1957,https://boxd.it/29b6,
35,Interstellar,2014,https://boxd.it/4VZ8,
36,Spirited Away,2001,https://boxd.it/2b4m,
37,Incendies,2010,https://boxd.it/Msm,
38,Andrei Rublev,1966,https://boxd.it/29lg,
39,It's a Wonderful Life,1946,https://boxd.it/28xA,
40,Apocalypse Now,1979,https://boxd.it/6ZS,
41,The Ascent,1977,https://boxd.it/Eew,
42,The Apartment,1960,https://boxd.it/2aGE,
43,Sunset Boulevard,1950,https://boxd.it/2a20,
44,Tokyo Story,1953,https://boxd.it/1HuY,
