Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-06-28,Men in Black: International,2019,https://boxd.it/Klbv1,2,,,2019-06-27
2019-06-29,Avengers: Endgame,2019,https://boxd.it/KnOUt,5,Yes,,2019-06-28
2019-07-03,Spider-Man: Far From Home,2019,https://boxd.it/KAnX7,4.5,,,2019-07-02
2019-07-07,Dark Phoenix,2019,https://boxd.it/KNjtX,1.5,,,2019-07-06
2019-07-09,Spider-Man: Far From Home,2019,https://boxd.it/KTEJp,4.5,Yes,,2019-07-08
2019-07-15,The Inbetweeners Movie,2011,https://boxd.it/Lf0Y9,4,,,2019-07-15
2019-07-19,The Inbetweeners 2,2014,https://boxd.it/LoRpT,3,,,2019-07-18
2019-07-22,The Lion King,2019,https://boxd.it/Lyq6v,3,,,2019-07-21
2019-08-17,Reservoir Dogs,1992,https://boxd.it/MWHdP,4.5,,,2019-08-17
2019-08-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/N4Wq1,4.5,,,2019-08-17
2019-08-19,Batman Begins,2005,https://boxd.it/N4VKp,4,,,2019-08-19
2019-08-20,The Dark Knight,2008,https://boxd.it/N5jDx,5,,,2019-08-19
2019-08-20,The Dark Knight Rises,2012,https://boxd.it/N6GQB,4.5,Yes,,2019-08-19
2019-08-24,Good Boys,2019,https://boxd.it/Nk0j9,3,,,2019-08-23
2019-08-25,Pulp Fiction,1994,https://boxd.it/NnzsL,5,,,2019-08-24
2019-09-10,Hercules,1997,https://boxd.it/Oe9Ch,4.5,,,2019-09-09
2019-09-11,Mulan,1998,https://boxd.it/Oh9q7,4,,,2019-09-10
2019-09-12,Ralph Breaks the Internet,2018,https://boxd.it/Olfud,4,,,2019-09-11
2019-09-13,Superbad,2007,https://boxd.it/OnaTh,4.5,,,2019-09-12
2019-09-15,The Emperor's New Groove,2000,https://boxd.it/OrUNH,3,,,2019-09-13
2019-10-07,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/PFkID,3.5,,,2019-10-07
2019-10-09,Joker,2019,https://boxd.it/PLgZH,4.5,,,2019-10-08
2019-10-13,The Hangover,2009,https://boxd.it/PXTvl,3.5,,,2019-10-12
2019-10-14,The Hangover Part II,2011,https://boxd.it/Q4d9L,3.5,,,2019-10-13
2019-10-14,The Hangover Part III,2013,https://boxd.it/Q4RGv,3.5,,,2019-10-14
2019-10-17,Joker,2019,https://boxd.it/QeHeh,4,Yes,,2019-10-16
2019-10-18,Easy A,2010,https://boxd.it/QisNp,4,,,2019-10-17
2019-10-20,Zombieland,2009,https://boxd.it/Qqy7P,4,,,2019-10-20
2019-10-22,Between Two Ferns: The Movie,2019,https://boxd.it/QyuNN,3.5,,,2019-10-21
2019-10-24,21 Jump Street,2012,https://boxd.it/QEuv7,3.5,,,2019-10-23
2019-10-31,Zombieland: Double Tap,2019,https://boxd.it/R50ST,3.5,,,2019-10-30
2019-11-01,The Shining,1980,https://boxd.it/R9nqr,4.5,,,2019-10-31
2019-11-07,Doctor Sleep,2019,https://boxd.it/RvRRL,3.5,,,2019-11-06
2019-12-06,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/ThMgv,0.5,Yes,,2019-12-06
2019-12-08,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/TooDp,1,Yes,,2019-12-07
2019-12-09,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/Tul7H,2.5,Yes,,2019-12-08
2019-12-11,Solo: A Star Wars Story,2018,https://boxd.it/TAjyD,3.5,Yes,,2019-12-10
2019-12-20,Star Wars: The Rise of Skywalker,2019,https://boxd.it/UcgNh,4,,,2019-12-20
2019-12-21,Knives Out,2019,https://boxd.it/Ufxpd,4.5,,,2019-12-20
2019-12-24,Rogue One: A Star Wars Story,2016,https://boxd.it/Uu2qf,4,Yes,,2019-12-23
2019-12-25,Elf,2003,https://boxd.it/UAXIH,3.5,Yes,,2019-12-24
2019-12-26,Die Hard,1988,https://boxd.it/UF2eb,4,,,2019-12-25
2019-12-27,Crazy Rich Asians,2018,https://boxd.it/ULztv,3.5,,,2019-12-26
2019-12-27,Sorry to Bother You,2018,https://boxd.it/UMEjR,4.5,,,2019-12-27
2019-12-29,6 Underground,2019,https://boxd.it/UXNg5,2,,,2019-12-29
2019-12-31,Watchmen,2009,https://boxd.it/V6RUh,3.5,,,2019-12-30
2020-01-03,Cats,2019,https://boxd.it/VuLYF,0.5,,profile,2020-01-02
2020-01-04,Star Wars,1977,https://boxd.it/VyUKb,4,Yes,,2020-01-03
2020-01-08,The Empire Strikes Back,1980,https://boxd.it/W0DRZ,5,Yes,,2020-01-07
2020-01-09,Return of the Jedi,1983,https://boxd.it/W2vjJ,4.5,Yes,,2020-01-08
2020-01-10,Jojo Rabbit,2019,https://boxd.it/W8WKJ,5,,,2020-01-09
2020-01-15,Instant Family,2018,https://boxd.it/WG3Ud,4,,,2020-01-14
2020-01-17,The Irishman,2019,https://boxd.it/WRn6f,4,,,2020-01-17
2020-01-20,Anchorman 2: The Legend Continues,2013,https://boxd.it/X7ufF,2,,,2020-01-19
2020-01-20,Booksmart,2019,https://boxd.it/X8zgF,4.5,,,2020-01-19
2020-01-21,What We Do in the Shadows,2014,https://boxd.it/Xc6QH,3.5,,,2020-01-20
2020-01-21,Guava Island,2019,https://boxd.it/Xcnwz,4,,,2020-01-20
2020-01-21,Cars 3,2017,https://boxd.it/XcI6H,2.5,,,2020-01-20
2020-01-21,Finding Dory,2016,https://boxd.it/XdNYr,4,,,2020-01-20
2020-02-05,Bombshell,2019,https://boxd.it/YxfEr,3,,,2020-02-04
2020-02-06,Uncut Gems,2019,https://boxd.it/YC95Z,4,,,2020-02-05
2020-02-08,1917,2019,https://boxd.it/YLWNz,4.5,,,2020-02-07
2020-02-11,Parasite,2019,https://boxd.it/Z4ekV,5,,,2020-02-10
2020-02-13,Star Wars: The Force Awakens,2015,https://boxd.it/Zc6WD,4,Yes,,2020-02-12
2020-02-13,Star Wars: The Last Jedi,2017,https://boxd.it/ZdQHV,4,Yes,,2020-02-12
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/Zo6Vf,2.5,,,2020-02-14
2020-02-16,The Farewell,2019,https://boxd.it/ZslWl,4.5,,,2020-02-15
2020-02-19,Little Women,2019,https://boxd.it/ZOeU7,5,,,2020-02-18
2020-02-27,Proxima,2019,https://boxd.it/10s4AV,3.5,,,2020-02-19
2020-02-23,Toy Story 4,2019,https://boxd.it/105FeV,4.5,,,2020-02-21
2020-02-28,Marriage Story,2019,https://boxd.it/10zcgt,4.5,,,2020-02-28
2020-02-29,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/10BNI9,3.5,,,2020-02-28
2020-03-01,Lady Bird,2017,https://boxd.it/10HDpX,4.5,,,2020-03-01
2020-03-05,Les Misérables,2019,https://boxd.it/10ZPQd,3.5,,,2020-03-04
2020-03-08,Onward,2020,https://boxd.it/11frxD,4.5,,,2020-03-08
