Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-03-29,2022 Oscar Best Picture Nominees Ranked,,https://boxd.it/fZ2cc,

Position,Name,Year,URL,Description
1,Dune,2021,https://boxd.it/fA7G,
2,The Power of the Dog,2021,https://boxd.it/m99E,
3,Licorice Pizza,2021,https://boxd.it/qTKY,
4,Drive My Car,2021,https://boxd.it/sv94,
5,King Richard,2021,https://boxd.it/mJZ2,
6,Don't Look Up,2021,https://boxd.it/o0Hc,
7,West Side Story,2021,https://boxd.it/iwt0,
8,Nightmare Alley,2021,https://boxd.it/m0HC,
9,CODA,2021,https://boxd.it/tbf4,
10,Belfast,2021,https://boxd.it/tefG,
