Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-30,2025: Most Anticipated,,https://boxd.it/BLMK0,

Position,Name,Year,URL,Description
1,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
2,Superman,2025,https://boxd.it/E9IU,
3,Mother Mary,2026,https://boxd.it/FILw,
4,Babygirl,2024,https://boxd.it/Fvai,
5,A Real Pain,2024,https://boxd.it/CjNG,
6,The History of Sound,2025,https://boxd.it/xFY2,
7,Materialists,2025,https://boxd.it/GZlW,
8,Nosferatu,2024,https://boxd.it/f5eG,
9,Wake Up Dead Man,2025,https://boxd.it/uAKS,
10,One Battle After Another,2025,https://boxd.it/DUHM,
11,Mickey 17,2025,https://boxd.it/q1Dk,
12,Hal & Harper,2025,https://boxd.it/SQRe,
13,Bugonia,2025,https://boxd.it/qeWY,
14,The Running Man,2025,https://boxd.it/u36A,
15,Marty Supreme,2025,https://boxd.it/Off0,
16,The Brutalist,2024,https://boxd.it/k4BO,
17,One of Them Days,2025,https://boxd.it/MReU,
18,Plainclothes,2025,https://boxd.it/LP4Q,
19,"Oh, Hi!",2025,https://boxd.it/PLns,
20,Thunderbolts*,2025,https://boxd.it/BfbQ,
21,Y2K,2024,https://boxd.it/FnHI,
22,The Life of Chuck,2024,https://boxd.it/vMTu,
23,La Cocina,2024,https://boxd.it/Aula,
24,The Governesses,,https://boxd.it/AdVq,
25,Wicked: For Good,2025,https://boxd.it/AyfK,
26,A Big Bold Beautiful Journey,2025,https://boxd.it/Lcle,
27,The Wedding Banquet,2025,https://boxd.it/MMxC,
28,Twinless,2025,https://boxd.it/LkKc,
29,Hamnet,2025,https://boxd.it/woVy,
30,Saturday Night,2024,https://boxd.it/Gpfo,
31,Outcome,2026,https://boxd.it/DHU4,
32,Sinners,2025,https://boxd.it/KQMM,
33,The Bride!,2026,https://boxd.it/HSw6,
34,Love Child,,https://boxd.it/fAP4,
35,Ballerina,2025,https://boxd.it/jKqG,
36,Captain America: Brave New World,2025,https://boxd.it/uYDm,
37,Opus,2025,https://boxd.it/JBMA,
38,Jimpa,2025,https://boxd.it/N566,
39,Avatar: Fire and Ash,2025,https://boxd.it/2W7s,
40,Black Bag,2025,https://boxd.it/KRbM,
41,Good Fortune,2025,https://boxd.it/GavG,
42,The Housemaid,2025,https://boxd.it/QFEO,
43,Fountain of Youth,2025,https://boxd.it/Fwx8,
44,Bubble & Squeak,2025,https://boxd.it/PMQq,
45,Elio,2025,https://boxd.it/CFr8,
46,Now You See Me: Now You Don't,2025,https://boxd.it/f3i2,
47,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,
48,Death of a Unicorn,2025,https://boxd.it/HCPm,
49,The Electric State,2025,https://boxd.it/tev0,
50,Nickel Boys,2024,https://boxd.it/CStQ,
51,The Assessment,2024,https://boxd.it/Ogf6,
52,On Swift Horses,2024,https://boxd.it/FkhW,
53,The Gorge,2025,https://boxd.it/zRqK,
54,Zootopia 2,2025,https://boxd.it/F0vO,
55,Flow,2024,https://boxd.it/v1Ei,
56,Lilo & Stitch,2025,https://boxd.it/kbUe,
57,The Way of the Wind,,https://boxd.it/mqE0,
58,A Complete Unknown,2024,https://boxd.it/oBYa,
59,The Memory Police,,https://boxd.it/scb6,
60,I'm Still Here,2024,https://boxd.it/BPEO,
61,Freaky Tales,2024,https://boxd.it/B0MC,
62,Rebuilding,2025,https://boxd.it/JYjm,
63,The Legend of Ochi,2025,https://boxd.it/xRZm,
64,TRON: Ares,2025,https://boxd.it/jqdM,
65,The Amateur,2025,https://boxd.it/F9NW,
66,Hurry Up Tomorrow,2025,https://boxd.it/FlAU,
67,Love Hurts,2025,https://boxd.it/KyBc,
68,Jurassic World Rebirth,2025,https://boxd.it/KUeE,
69,"Oh, Canada",2024,https://boxd.it/G7TU,
70,Freakier Friday,2025,https://boxd.it/GxwW,
71,The End,2024,https://boxd.it/xfAe,
72,Love Me,2024,https://boxd.it/xgoe,
73,F1,2025,https://boxd.it/yjVM,
74,The Naked Gun,2025,https://boxd.it/Da9k,
75,Roofman,2025,https://boxd.it/LcIW,
76,Hard Truths,2024,https://boxd.it/CiDq,
77,September 5,2024,https://boxd.it/JYsI,
78,Bunnylovr,2025,https://boxd.it/QxM6,
79,Wolf Man,2025,https://boxd.it/qzSI,
80,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
81,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4,
82,Little Death,2024,https://boxd.it/CLsc,
83,The Monkey,2025,https://boxd.it/Gwiu,
84,Untitled Trey Parker / Matt Stone / Kendrick Lamar Comedy,,https://boxd.it/yUzS,
85,Animal Friends,2027,https://boxd.it/GatA,
86,Atropia,2025,https://boxd.it/L5Km,
87,Lurker,2025,https://boxd.it/McHG,
88,Kiss of the Spider Woman,2025,https://boxd.it/K6Ag,
89,Bridget Jones: Mad About the Boy,2025,https://boxd.it/Mu9s,
90,The Witcher: Sirens of the Deep,2025,https://boxd.it/JEvM,
91,Ash,2025,https://boxd.it/z5n4,
92,Magic Farm,2025,https://boxd.it/NZAm,
93,Peter Hujar's Day,2025,https://boxd.it/HSdo,
94,Hot Milk,2025,https://boxd.it/zbyi,
95,The Alto Knights,2025,https://boxd.it/CjB6,
96,In the Grey,2026,https://boxd.it/Grji,
