Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-26,A24: Ranked,,https://boxd.it/gJO98,

Position,Name,Year,URL,Description
1,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,The Florida Project,2017,https://boxd.it/dMG0,
4,The Zone of Interest,2023,https://boxd.it/gJsA,
5,Past Lives,2023,https://boxd.it/oNB8,
6,Marcel the Shell with Shoes On,2021,https://boxd.it/wMAk,
7,The Farewell,2019,https://boxd.it/kIky,
8,20th Century Women,2016,https://boxd.it/bqU6,
9,Queer,2024,https://boxd.it/E4RW,
10,Warfare,2025,https://boxd.it/LbRo,
11,The Whale,2022,https://boxd.it/tw4c,
12,Aftersun,2022,https://boxd.it/Arw0,
13,The Green Knight,2021,https://boxd.it/kuy2,
14,The Brutalist,2024,https://boxd.it/k4BO,
15,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,
16,Eighth Grade,2018,https://boxd.it/hDMG,
17,We Live in Time,2024,https://boxd.it/FC5u,
18,Civil War,2024,https://boxd.it/z1jW,
19,Good Time,2017,https://boxd.it/fcFu,
20,The Souvenir: Part II,2021,https://boxd.it/gXTK,
21,Love Lies Bleeding,2024,https://boxd.it/zN4q,
22,Red Rocket,2021,https://boxd.it/sGpi,
23,Under the Silver Lake,2018,https://boxd.it/dSAs,
24,The Iron Claw,2023,https://boxd.it/w5Pm,
25,After Yang,2021,https://boxd.it/lx5a,
26,The Souvenir,2019,https://boxd.it/gXU4,
27,Uncut Gems,2019,https://boxd.it/gXGc,
28,I Saw the TV Glow,2024,https://boxd.it/woVe,
29,Sing Sing,2023,https://boxd.it/HIBA,
30,Ex Machina,2015,https://boxd.it/7T2k,
31,The Disaster Artist,2017,https://boxd.it/cTqc,
32,While We're Young,2014,https://boxd.it/7oOs,
33,Enemy,2013,https://boxd.it/5xtO,
34,Zola,2020,https://boxd.it/jEWQ,
35,Dream Scenario,2023,https://boxd.it/v2h0,
36,You Hurt My Feelings,2023,https://boxd.it/xBXu,
37,Babygirl,2024,https://boxd.it/Fvai,
38,Priscilla,2023,https://boxd.it/Cz3k,
39,Funny Pages,2022,https://boxd.it/lrlm,
40,Causeway,2022,https://boxd.it/lWQq,
41,The Eternal Daughter,2022,https://boxd.it/tJnG,
42,Beau Is Afraid,2023,https://boxd.it/u2gE,
43,Midsommar,2019,https://boxd.it/jhxe,
44,Problemista,2023,https://boxd.it/waGO,
45,The Tragedy of Macbeth,2021,https://boxd.it/lMi4,
46,Talk to Me,2022,https://boxd.it/C6uQ,
47,White Noise,2022,https://boxd.it/rXgK,
48,Opus,2025,https://boxd.it/JBMA,
49,Death of a Unicorn,2025,https://boxd.it/HCPm,
50,Dicks: The Musical,2023,https://boxd.it/zslg,
51,Showing Up,2022,https://boxd.it/tJ1q,
52,Men,2022,https://boxd.it/tlc0,
53,On the Rocks,2020,https://boxd.it/l8aY,
54,The Bling Ring,2013,https://boxd.it/3lPY,
55,The Spectacular Now,2013,https://boxd.it/4VSG,
56,Y2K,2024,https://boxd.it/FnHI,
57,Spring Breakers,2012,https://boxd.it/421s,
