Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-07,back in the closet,,https://boxd.it/TK6o2,

Position,Name,Year,URL,Description
1,Children of Paradise,1945,https://boxd.it/26H4,ethan hawke
2,Onibaba,1964,https://boxd.it/252a,willem defoe
3,The Devil's Backbone,2001,https://boxd.it/28Li,willem defoe
4,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,willem defoe
5,Pina,2011,https://boxd.it/n5W,maya hawke
6,An Angel at My Table,1990,https://boxd.it/269G,maya hawke
7,Tess,1979,https://boxd.it/1UAq,maya hawke
8,High and Low,1963,https://boxd.it/1RSc,hideo kojima
9,Late Spring,1949,https://boxd.it/1DkK,hideo kojima
10,The Learning Tree,1969,https://boxd.it/3dBk,winona ryder
11,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne,winona ryder
12,Beau Travail,1999,https://boxd.it/1NI8,margaret qualley
13,All That Jazz,1979,https://boxd.it/1JB8,margaret qualley
