Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-28,Batmen: Ranked,,https://boxd.it/aBtpu,

Position,Name,Year,URL,Description
1,The Batman,2022,https://boxd.it/eDGs,
2,The Dark Knight,2008,https://boxd.it/2b0k,
3,The Dark Knight Rises,2012,https://boxd.it/H3m,
4,The Lego Batman Movie,2017,https://boxd.it/azp0,
5,Batman: Mask of the Phantasm,1993,https://boxd.it/1N6S,
6,Batman Returns,1992,https://boxd.it/2awa,
7,Batman Begins,2005,https://boxd.it/2aIg,
8,Batman,1989,https://boxd.it/2aIU,
9,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
10,Batman,1966,https://boxd.it/26uO,
11,Batman Forever,1995,https://boxd.it/2ara,
12,Batman & Robin,1997,https://boxd.it/2ar0,
13,Catwoman,2004,https://boxd.it/2aBY,
