Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-02,Baumbach: Ranked,,https://boxd.it/aGjv8,

Position,Name,Year,URL,Description
1,Marriage Story,2019,https://boxd.it/hJAw,
2,Frances Ha,2012,https://boxd.it/41Xg,
3,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
4,Greenberg,2010,https://boxd.it/1rt6,
5,While We're Young,2014,https://boxd.it/7oOs,
6,White Noise,2022,https://boxd.it/rXgK,
7,Jay Kelly,2025,https://boxd.it/EsWw,
8,Kicking and Screaming,1995,https://boxd.it/1pHK,
