Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-08,BFI Flare 2026,,https://boxd.it/TKTDq,

Position,Name,Year,URL,Description
1,Perro perro,2025,https://boxd.it/UdZs,
2,Bearcave,2025,https://boxd.it/WwmS,
3,The Little Sister,2025,https://boxd.it/AicU,
4,Impure Nuns,1958,https://boxd.it/drBI,
5,Lady Champagne,2026,https://boxd.it/11abS,
6,Satisfaction,2025,https://boxd.it/KOTc,
7,Out Laws,2026,https://boxd.it/O5y2,
8,Uchronia,2026,https://boxd.it/10jAg,
9,Washed Up,2026,https://boxd.it/10en2,
10,To Dance is to Resist,2026,https://boxd.it/117yO,
11,ìfé: (The Sequel),2026,https://boxd.it/11a5q,
