Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-19,CCAs,,https://boxd.it/QM9vC,

Position,Name,Year,URL,Description
1,Resurrection,2025,https://boxd.it/x9DG,
2,One Battle After Another,2025,https://boxd.it/DUHM,
3,Bugonia,2025,https://boxd.it/qeWY,
4,"Sorry, Baby",2025,https://boxd.it/JKNi,
5,Hamnet,2025,https://boxd.it/woVy,
6,Sentimental Value,2025,https://boxd.it/GwcG,
7,Plainclothes,2025,https://boxd.it/LP4Q,
8,Blue Moon,2025,https://boxd.it/Nzwy,
9,Warfare,2025,https://boxd.it/LbRo,
10,The Voice of Hind Rajab,2025,https://boxd.it/UXdO,
11,Wake Up Dead Man,2025,https://boxd.it/uAKS,
12,Elio,2025,https://boxd.it/CFr8,
13,Materialists,2025,https://boxd.it/GZlW,
14,Sinners,2025,https://boxd.it/KQMM,
15,Bridget Jones: Mad About the Boy,2025,https://boxd.it/Mu9s,
16,Lurker,2025,https://boxd.it/McHG,
17,Black Bag,2025,https://boxd.it/KRbM,
18,The Testament of Ann Lee,2025,https://boxd.it/RTTU,
19,Sirāt,2025,https://boxd.it/HxJo,
