Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-09-01,Chrissy Nolan: Ranked ✅,,https://boxd.it/8BPYS,

Position,Name,Year,URL,Description
1,Interstellar,2014,https://boxd.it/4VZ8,
2,The Prestige,2006,https://boxd.it/293w,
3,Oppenheimer,2023,https://boxd.it/wUow,
4,Inception,2010,https://boxd.it/1skk,
5,The Dark Knight,2008,https://boxd.it/2b0k,
6,Memento,2000,https://boxd.it/2bcK,
7,Dunkirk,2017,https://boxd.it/d0Y6,
8,The Dark Knight Rises,2012,https://boxd.it/H3m,
9,Tenet,2020,https://boxd.it/leq4,
10,Batman Begins,2005,https://boxd.it/2aIg,
11,Following,1998,https://boxd.it/1Tj4,
12,Insomnia,2002,https://boxd.it/2aB0,
