Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-20,Contemporary Cinema,,https://boxd.it/aVY64,

Position,Name,Year,URL,Description
1,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
2,The Florida Project,2017,https://boxd.it/dMG0,
3,Cold War,2018,https://boxd.it/fEoc,
4,If Beale Street Could Talk,2018,https://boxd.it/gGhu,
5,Blade Runner 2049,2017,https://boxd.it/b8wK,
6,BPM (Beats per Minute),2017,https://boxd.it/g796,
7,Midsommar,2019,https://boxd.it/jhxe,
8,Paterson,2016,https://boxd.it/cRk2,
9,Faces Places,2017,https://boxd.it/g7ck,
