Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-01-17,DCEU: Ranked ✅,,https://boxd.it/aTIJq,

Position,Name,Year,URL,Description
1,The Suicide Squad,2021,https://boxd.it/fw6O,
2,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,
3,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
4,Shazam!,2019,https://boxd.it/8WBu,
5,Wonder Woman,2017,https://boxd.it/9roG,
6,Blue Beetle,2023,https://boxd.it/kJLq,
7,The Flash,2023,https://boxd.it/9twC,
8,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,Ultimate cut
9,Aquaman,2018,https://boxd.it/9ru0,
10,Man of Steel,2013,https://boxd.it/FRk,
11,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,
12,Justice League,2017,https://boxd.it/4w68,
13,Wonder Woman 1984,2020,https://boxd.it/gBtA,
14,Aquaman and the Lost Kingdom,2023,https://boxd.it/l1LS,
15,Black Adam,2022,https://boxd.it/fup0,
16,Suicide Squad,2016,https://boxd.it/9row,
