Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-11,DDD - Steven Spielberg,,https://boxd.it/TPMOG,

Position,Name,Year,URL,Description
1,Catch Me If You Can,2002,https://boxd.it/29VS,
2,Jurassic Park,1993,https://boxd.it/2aA2,
3,Schindler's List,1993,https://boxd.it/2aq2,
4,Jaws,1975,https://boxd.it/2a5e,
5,Saving Private Ryan,1998,https://boxd.it/29ro,
6,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
7,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
8,Ready Player One,2018,https://boxd.it/aZes,
9,The Fabelmans,2022,https://boxd.it/ugoM,
10,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
11,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
12,The Terminal,2004,https://boxd.it/2a2O,
13,West Side Story,2021,https://boxd.it/iwt0,
14,Minority Report,2002,https://boxd.it/2aWi,
15,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
16,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
17,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
18,War of the Worlds,2005,https://boxd.it/2bde,
19,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
20,Hook,1991,https://boxd.it/29nQ,
21,The Adventures of Tintin,2011,https://boxd.it/1Irc,
22,Lincoln,2012,https://boxd.it/2n2s,
23,The Post,2017,https://boxd.it/fTeG,
24,The Color Purple,1985,https://boxd.it/29oO,
25,Bridge of Spies,2015,https://boxd.it/9n9C,
26,Empire of the Sun,1987,https://boxd.it/1X4i,
27,Munich,2005,https://boxd.it/2a0e,
28,Duel,1971,https://boxd.it/29ui,
29,The BFG,2016,https://boxd.it/81cs,
30,War Horse,2011,https://boxd.it/nf8,
31,Disclosure Day,2026,https://boxd.it/MDJY,
32,Amistad,1997,https://boxd.it/1SZ4,
33,Twilight Zone: The Movie,1983,https://boxd.it/1Mtw,
34,The Sugarland Express,1974,https://boxd.it/23la,
35,1941,1979,https://boxd.it/1TF0,
36,Always,1989,https://boxd.it/1U3G,
37,Something Evil,1972,https://boxd.it/31CK,
38,Amblin',1968,https://boxd.it/3mdQ,
39,Savage,1973,https://boxd.it/3ITO,
