Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-28,Director Rankings - Master List,"ranking, directors, allstats",https://boxd.it/wCg6Y,

Position,Name,Year,URL,Description
1,"Synecdoche, New York",2008,https://boxd.it/23zw,
2,Werckmeister Harmonies,2000,https://boxd.it/1zzw,
3,The Double Life of Véronique,1991,https://boxd.it/28va,
4,Children of Men,2006,https://boxd.it/1Y2i,
5,Phantom Thread,2017,https://boxd.it/e4uc,
6,Seven Samurai,1954,https://boxd.it/2axi,
7,The Wind Rises,2013,https://boxd.it/4JQS,
8,The Florida Project,2017,https://boxd.it/dMG0,
9,A Woman Under the Influence,1974,https://boxd.it/1myg,
10,Parasite,2019,https://boxd.it/hTha,
11,Get Out,2017,https://boxd.it/eOCm,
12,Songs from the Second Floor,2000,https://boxd.it/1eoM,
13,Mr. Smith Goes to Washington,1939,https://boxd.it/25Ms,
14,Love Is Strange,2014,https://boxd.it/7aRW,
15,Stalker,1979,https://boxd.it/28PO,
16,Amarcord,1973,https://boxd.it/20NA,
17,The Long Day Closes,1992,https://boxd.it/EMy,
18,Paprika,2006,https://boxd.it/23wW,
19,Amour,2012,https://boxd.it/34Q6,
20,Stop Making Sense,1984,https://boxd.it/1ygo,
21,Short Cuts,1993,https://boxd.it/29Nk,
22,Everyman,1963,https://boxd.it/149s,
23,Close-Up,1990,https://boxd.it/1m9q,
24,The Green Ray,1986,https://boxd.it/t8W,
25,Paddington 2,2017,https://boxd.it/bCF8,
26,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
27,Singin' in the Rain,1952,https://boxd.it/29oY,
28,In the Realm of the Senses,1976,https://boxd.it/22qS,
29,The Lighthouse,2019,https://boxd.it/icFU,
30,Le Trou,1960,https://boxd.it/1nSw,
31,Eighth Grade,2018,https://boxd.it/hDMG,
32,Hot Fuzz,2007,https://boxd.it/2416,
33,Post Tenebras Lux,2012,https://boxd.it/3wTs,
34,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
35,Being John Malkovich,1999,https://boxd.it/2ahu,
36,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
37,Inside Llewyn Davis,2013,https://boxd.it/34Ro,
38,On the Silver Globe,1988,https://boxd.it/1sAM,
39,Secrets & Lies,1996,https://boxd.it/1UuC,
40,A Face in the Crowd,1957,https://boxd.it/2lyc,
41,Oldboy,2003,https://boxd.it/29R2,
42,Carol,2015,https://boxd.it/7DPK,
43,Inglourious Basterds,2009,https://boxd.it/1JzG,
