Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-08-05,Disney Remakes: Ranked,,https://boxd.it/onRiA,

Position,Name,Year,URL,Description
1,The Little Mermaid,2023,https://boxd.it/fVum,
2,Maleficent,2014,https://boxd.it/3v1u,
3,Alice in Wonderland,2010,https://boxd.it/1Spq,
4,The Lion King,2019,https://boxd.it/eSjI,
5,The Jungle Book,2016,https://boxd.it/8wjk,
6,Aladdin,2019,https://boxd.it/eSjy,
7,Cruella,2021,https://boxd.it/bbKg,
8,Maleficent: Mistress of Evil,2019,https://boxd.it/eSig,
9,101 Dalmatians,1996,https://boxd.it/1TgO,
10,Lilo & Stitch,2025,https://boxd.it/kbUe,
11,Peter Pan & Wendy,2023,https://boxd.it/eSi6,
12,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg,
13,Mufasa: The Lion King,2024,https://boxd.it/sE9C,
14,Snow White,2025,https://boxd.it/fVuc,
