Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-05,Jan + Feb + Mar + April + May + June Releases,,https://boxd.it/RoZf8,

Position,Name,Year,URL,Description
1,Song Sung Blue,2025,https://boxd.it/QMqO,
2,Peter Hujar's Day,2025,https://boxd.it/HSdo,
3,28 Years Later: The Bone Temple,2026,https://boxd.it/MwlA,
4,No Other Choice,2025,https://boxd.it/nKiA,
5,The History of Sound,2025,https://boxd.it/xFY2,
6,Hamnet,2025,https://boxd.it/woVy,
7,Mercy,2026,https://boxd.it/KYv0,
8,Send Help,2026,https://boxd.it/JuhA,
9,The Chronology of Water,2025,https://boxd.it/j3pq,
10,Wuthering Heights,2026,https://boxd.it/OdIa,
11,Crime 101,2026,https://boxd.it/IoGs,
12,Little Amélie or the Character of Rain,2025,https://boxd.it/prg0,
13,The Day the Earth Blew Up: A Looney Tunes Movie,2024,https://boxd.it/wPxe,
14,"Good Luck, Have Fun, Don't Die",2025,https://boxd.it/Glua,
15,"It's Never Over, Jeff Buckley",2025,https://boxd.it/RSnI,
16,GOAT,2026,https://boxd.it/NvB0,
17,If I Had Legs I'd Kick You,2025,https://boxd.it/HUtS,
18,The Testament of Ann Lee,2025,https://boxd.it/RTTU,
19,The Moment,2026,https://boxd.it/SCkg,
20,Hoppers,2026,https://boxd.it/OFpg,
21,How to Make a Killing,2026,https://boxd.it/gLi8,
22,The Bride!,2026,https://boxd.it/HSw6,
23,Reminders of Him,2026,https://boxd.it/QEnW,
24,Project Hail Mary,2026,https://boxd.it/pEeQ,
25,Ready or Not 2: Here I Come,2026,https://boxd.it/MfY6,
26,Peaky Blinders: The Immortal Man,2026,https://boxd.it/x3yq,
27,Scarlet,2025,https://boxd.it/S6iW,
28,Resurrection,2025,https://boxd.it/x9DG,
29,Arco,2025,https://boxd.it/uh7C,
30,Dead Man's Wire,2025,https://boxd.it/M8wu,
31,The Magic Faraway Tree,2026,https://boxd.it/H74O,
32,Splitsville,2025,https://boxd.it/PGtA,
33,The Super Mario Galaxy Movie,2026,https://boxd.it/KzPa,
34,The Drama,2026,https://boxd.it/OA2w,
35,California Schemin',2025,https://boxd.it/JhHg,
36,Michael,2026,https://boxd.it/zi5M,
37,Fuze,2025,https://boxd.it/LcIM,
38,"You, Me & Tuscany",2026,https://boxd.it/TTRe,
39,Rebuilding,2025,https://boxd.it/JYjm,
40,Mother Mary,2026,https://boxd.it/FILw,
41,Merrily We Roll Along,2025,https://boxd.it/NRa6,
42,The Devil Wears Prada 2,2026,https://boxd.it/Oags,
43,The Sheep Detectives,2026,https://boxd.it/NDSe,
44,Billie Eilish — Hit Me Hard and Soft: The Tour (Live in 3D),2026,https://boxd.it/Wowg,
45,Obsession,2025,https://boxd.it/PNqo,
46,The Christophers,2025,https://boxd.it/RRrO,
47,Star Wars: The Mandalorian and Grogu,2026,https://boxd.it/KCpk,
48,Finding Emily,2026,https://boxd.it/PNes,
49,Power Ballad,2026,https://boxd.it/MZy4,
50,Backrooms,2026,https://boxd.it/EY6W,
51,Tuner,2025,https://boxd.it/POtS,
52,Masters of the Universe,2026,https://boxd.it/gdKW,
53,Erupcja,2025,https://boxd.it/PHcq,
54,Enzo,2025,https://boxd.it/MK4I,
55,Bridesmaids,2011,https://boxd.it/rac,
56,Disclosure Day,2026,https://boxd.it/MDJY,
57,Boogie Nights,1997,https://boxd.it/23um,
58,Toy Story 5,2026,https://boxd.it/F06E,
59,Cactus Pears,2025,https://boxd.it/NaeE,
60,Supergirl,2026,https://boxd.it/ESyU,
61,Blue Heron,2025,https://boxd.it/IWJq,
