Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-07,Owen and Jack’s Fridays,,https://boxd.it/zlP0u,

Position,Name,Year,URL,Description
1,Ready Player One,2018,https://boxd.it/aZes,
2,The Dark Knight Rises,2012,https://boxd.it/H3m,
3,Blade II,2002,https://boxd.it/1agO,
4,Blade: Trinity,2004,https://boxd.it/1a8q,
5,Ghost Rider,2007,https://boxd.it/290M,
6,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/2qne,
7,The Punisher,2004,https://boxd.it/217g,
8,Punisher: War Zone,2008,https://boxd.it/1QWM,
9,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,
10,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,
11,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,
12,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,
13,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,
14,Edge of Tomorrow,2014,https://boxd.it/4pD0,
15,Dirty Computer,2018,https://boxd.it/iLhe,
