Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-04-19,Pixar: Ranked,,https://boxd.it/bQYLq,Cried 10/31

Position,Name,Year,URL,Description
1,Inside Out,2015,https://boxd.it/4KHC,
2,WALL·E,2008,https://boxd.it/1VEo,
3,The Incredibles,2004,https://boxd.it/1XLm,
4,Up,2009,https://boxd.it/1OEc,
5,Coco,2017,https://boxd.it/bYJQ,
6,Soul,2020,https://boxd.it/ioLA,
7,Toy Story 3,2010,https://boxd.it/1WRe,
8,Toy Story 4,2019,https://boxd.it/9ALu,
9,Finding Nemo,2003,https://boxd.it/72i,
10,Onward,2020,https://boxd.it/io92,
11,Elio,2025,https://boxd.it/CFr8,
12,"Monsters, Inc.",2001,https://boxd.it/2a46,
13,Turning Red,2022,https://boxd.it/ipkq,
14,Luca,2021,https://boxd.it/ipjC,
15,Inside Out 2,2024,https://boxd.it/CFrC,
16,Toy Story 2,1999,https://boxd.it/29qq,
17,Toy Story,1995,https://boxd.it/29qA,
18,Incredibles 2,2018,https://boxd.it/7IPg,
19,Ratatouille,2007,https://boxd.it/27ww,
20,Win or Lose,2025,https://boxd.it/T9DK,
21,Hoppers,2026,https://boxd.it/OFpg,
22,Finding Dory,2016,https://boxd.it/4aAA,
23,Dug Days,2021,https://boxd.it/wMAE,
24,Monsters University,2013,https://boxd.it/bQm,
25,Brave,2012,https://boxd.it/bVG,
26,Cars 2,2011,https://boxd.it/H4Y,
27,Elemental,2023,https://boxd.it/ASiE,
28,A Bug's Life,1998,https://boxd.it/1Yyy,
29,Lightyear,2022,https://boxd.it/qV1G,
30,Cars 3,2017,https://boxd.it/7IPq,
31,Cars,2006,https://boxd.it/29ho,
32,The Good Dinosaur,2015,https://boxd.it/3AD4,
