Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-08,Pixar Ranked (Old),,https://boxd.it/4X8KQ,

Position,Name,Year,URL,Description
1,WALL·E,2008,https://boxd.it/1VEo,
2,Inside Out,2015,https://boxd.it/4KHC,
3,The Incredibles,2004,https://boxd.it/1XLm,
4,Soul,2020,https://boxd.it/ioLA,
5,Coco,2017,https://boxd.it/bYJQ,
6,Finding Nemo,2003,https://boxd.it/72i,
7,Toy Story 3,2010,https://boxd.it/1WRe,
8,Onward,2020,https://boxd.it/io92,
9,Toy Story 4,2019,https://boxd.it/9ALu,
10,Up,2009,https://boxd.it/1OEc,
11,Ratatouille,2007,https://boxd.it/27ww,
12,Toy Story,1995,https://boxd.it/29qA,
13,Monsters University,2013,https://boxd.it/bQm,
14,Finding Dory,2016,https://boxd.it/4aAA,
15,"Monsters, Inc.",2001,https://boxd.it/2a46,
16,Incredibles 2,2018,https://boxd.it/7IPg,
17,Toy Story 2,1999,https://boxd.it/29qq,
18,Cars 2,2011,https://boxd.it/H4Y,
19,Cars,2006,https://boxd.it/29ho,
20,The Good Dinosaur,2015,https://boxd.it/3AD4,
21,Brave,2012,https://boxd.it/bVG,
22,Cars 3,2017,https://boxd.it/7IPq,
