Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-06-18,Pride,,https://boxd.it/wjymC,

Position,Name,Year,URL,Description
1,Brokeback Mountain,2005,https://boxd.it/2b2q,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,Paris Is Burning,1990,https://boxd.it/1jzg,
4,Moonlight,2016,https://boxd.it/d6bE,
5,Orlando,1992,https://boxd.it/1Z1K,
6,My Own Private Idaho,1991,https://boxd.it/2ak4,
7,Cabaret,1972,https://boxd.it/1Vpe,
8,Beach Rats,2017,https://boxd.it/f5m6,
9,Happy Together,1997,https://boxd.it/1Ha0,
10,Closet Monster,2015,https://boxd.it/bU3c,
11,Coming Out,1989,https://boxd.it/1a5c,
12,Solo,2013,https://boxd.it/6MNm,
13,Fire Island,2022,https://boxd.it/vV8C,
14,Close,2022,https://boxd.it/y4qa,
15,Weekend,2011,https://boxd.it/2Kzu,
16,Stranger by the Lake,2013,https://boxd.it/5Fji,
17,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
18,Call Me by Your Name,2017,https://boxd.it/dYmm,
19,A Bigger Splash,1973,https://boxd.it/4xJU,
20,God's Own Country,2017,https://boxd.it/faZM,
21,Beautiful Thing,1996,https://boxd.it/1V20,
22,Big Boys,2023,https://boxd.it/F6mo,
23,Postcards from London,2018,https://boxd.it/hbGU,
24,Querelle,1982,https://boxd.it/XEy,
25,My Policeman,2022,https://boxd.it/rVmQ,
26,Monsoon,2019,https://boxd.it/mlLq,
