Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-01-04,PTA: Ranked,,https://boxd.it/eKTie,

Position,Name,Year,URL,Description
1,There Will Be Blood,2007,https://boxd.it/20Z2,
2,One Battle After Another,2025,https://boxd.it/DUHM,
3,Licorice Pizza,2021,https://boxd.it/qTKY,
4,Phantom Thread,2017,https://boxd.it/e4uc,
5,Boogie Nights,1997,https://boxd.it/23um,
6,The Master,2012,https://boxd.it/2cBG,
7,Magnolia,1999,https://boxd.it/2aze,
8,Hard Eight,1996,https://boxd.it/20DU,
9,Punch-Drunk Love,2002,https://boxd.it/20E4,
10,Inherent Vice,2014,https://boxd.it/5hla,
11,Anima,2019,https://boxd.it/mxuc,
12,HAIM / Valentine,2017,https://boxd.it/jwGA,
