Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-08-26,Random,,https://boxd.it/yfmJa,

Position,Name,Year,URL,Description
1,Minari,2020,https://boxd.it/mL9M,
2,Sound of Metal,2019,https://boxd.it/i7Q4,
3,Promising Young Woman,2020,https://boxd.it/loRE,
4,The Father,2020,https://boxd.it/m8Ie,
5,Nomadland,2020,https://boxd.it/lnRy,
6,Judas and the Black Messiah,2021,https://boxd.it/lsew,
7,The Trial of the Chicago 7,2020,https://boxd.it/kn3w,
8,Mank,2020,https://boxd.it/mIuC,
9,Inherent Vice,2014,https://boxd.it/5hla,
10,The Master,2012,https://boxd.it/2cBG,
11,Punch-Drunk Love,2002,https://boxd.it/20E4,
12,Phantom Thread,2017,https://boxd.it/e4uc,
13,Licorice Pizza,2021,https://boxd.it/qTKY,
14,There Will Be Blood,2007,https://boxd.it/20Z2,
15,Moonlight,2016,https://boxd.it/d6bE,
16,Beach Rats,2017,https://boxd.it/f5m6,
17,Close,2022,https://boxd.it/y4qa,
18,A Bigger Splash,1973,https://boxd.it/4xJU,
19,God's Own Country,2017,https://boxd.it/faZM,
20,Bones and All,2022,https://boxd.it/tLd4,
21,Suspiria,2018,https://boxd.it/cioI,
22,A Bigger Splash,2015,https://boxd.it/azgs,
23,I Am Love,2009,https://boxd.it/10ac,
24,A Star Is Born,2018,https://boxd.it/aXgc,
25,Arrival,2016,https://boxd.it/aNGk,
26,Sicario,2015,https://boxd.it/8i7u,
27,Vox Lux,2018,https://boxd.it/fcFk,
28,Nosferatu,1922,https://boxd.it/29TM,
29,Hard Truths,2024,https://boxd.it/CiDq,
30,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,
31,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,
32,Robot Dreams,2023,https://boxd.it/vBZm,
33,Manchester by the Sea,2016,https://boxd.it/b2L0,
34,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,
35,The Edge of Seventeen,2016,https://boxd.it/d5nu,
36,The Emperor's New Groove,2000,https://boxd.it/1Tey,
37,The Proposal,2009,https://boxd.it/1HiS,
38,Frances Ha,2012,https://boxd.it/41Xg,
39,Bridesmaids,2011,https://boxd.it/rac,
40,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
41,Brokeback Mountain,2005,https://boxd.it/2b2q,
42,Charli XCX: Alone Together,2021,https://boxd.it/tW2w,
