Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-12,Rewatches,,https://boxd.it/REK4m,

Position,Name,Year,URL,Description
1,Dune,2021,https://boxd.it/fA7G,
2,The Worst Person in the World,2021,https://boxd.it/oyws,
3,Baby Driver,2017,https://boxd.it/bhF2,
4,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
5,Past Lives,2023,https://boxd.it/oNB8,
6,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
7,The Incredibles,2004,https://boxd.it/1XLm,
8,The Prestige,2006,https://boxd.it/293w,
9,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
10,The Godfather Part II,1974,https://boxd.it/2aNq,
11,Babylon,2022,https://boxd.it/mM02,
12,Your Name.,2016,https://boxd.it/cUqs,
13,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
14,The Favourite,2018,https://boxd.it/d2hI,
15,Hacksaw Ridge,2016,https://boxd.it/azew,
16,Chef,2014,https://boxd.it/6lCG,
17,Theater Camp,2023,https://boxd.it/Bfbm,
18,The Man with the Answers,2021,https://boxd.it/tEvK,
