Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-04,Sony Animation Studio: Ranked,,https://boxd.it/KiNoM,

Position,Name,Year,URL,Description
1,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
2,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
3,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm,
4,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,
5,Cloudy with a Chance of Meatballs 2,2013,https://boxd.it/3GMw,
6,Arthur Christmas,2011,https://boxd.it/Cg6,
7,KPop Demon Hunters,2025,https://boxd.it/ufwK,
8,Hotel Transylvania,2012,https://boxd.it/2DF6,
9,The Smurfs,2011,https://boxd.it/Zcm,
10,Hotel Transylvania 2,2015,https://boxd.it/4ZLk,
11,Vivo,2021,https://boxd.it/g13w,
12,The Smurfs 2,2013,https://boxd.it/2HvO,
