Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-28,Spidermen: Ranked,,https://boxd.it/aBtmg,

Position,Name,Year,URL,Description
1,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,
2,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,
3,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
4,Spider-Man: Far From Home,2019,https://boxd.it/fegG,
5,Spider-Man: Homecoming,2017,https://boxd.it/aboM,
6,Spider-Man 2,2004,https://boxd.it/2a88,
7,The Amazing Spider-Man,2012,https://boxd.it/27PI,
8,Spider-Man,2002,https://boxd.it/2a8i,
9,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,
10,Spider-Man 3,2007,https://boxd.it/2a7Y,
11,Venom,2018,https://boxd.it/b8wA,
12,Madame Web,2024,https://boxd.it/nwD0,
13,Morbius,2022,https://boxd.it/j978,
14,Venom: Let There Be Carnage,2021,https://boxd.it/llco,
15,Venom: The Last Dance,2024,https://boxd.it/ynqo,
