Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-01,Spielberg: Ranked,,https://boxd.it/nB6Pm,

Position,Name,Year,URL,Description
1,Jurassic Park,1993,https://boxd.it/2aA2,
2,Jaws,1975,https://boxd.it/2a5e,
3,The Fabelmans,2022,https://boxd.it/ugoM,
4,Saving Private Ryan,1998,https://boxd.it/29ro,
5,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
6,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
7,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
8,West Side Story,2021,https://boxd.it/iwt0,
9,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
10,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
11,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
12,Ready Player One,2018,https://boxd.it/aZes,
