Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-27,Star Wars: Ranked,,https://boxd.it/gKSA0,

Position,Name,Year,URL,Description
1,The Empire Strikes Back,1980,https://boxd.it/27Vw,
2,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Star Wars,1977,https://boxd.it/72s,
5,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
6,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
7,Ahsoka,2023,https://boxd.it/IhEE,
8,Obi-Wan Kenobi,2022,https://boxd.it/yLBA,
9,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
10,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,
11,The Book of Boba Fett,2021,https://boxd.it/Damy,
12,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
13,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
