Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-26,Steven Spielberg: Ranked,,https://boxd.it/U6S44,

Position,Name,Year,URL,Description
1,Jurassic Park,1993,https://boxd.it/2aA2,
2,The Fabelmans,2022,https://boxd.it/ugoM,
3,Jaws,1975,https://boxd.it/2a5e,
4,Schindler's List,1993,https://boxd.it/2aq2,
5,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,
6,Minority Report,2002,https://boxd.it/2aWi,
7,West Side Story,2021,https://boxd.it/iwt0,
8,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
9,Saving Private Ryan,1998,https://boxd.it/29ro,
10,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
11,Empire of the Sun,1987,https://boxd.it/1X4i,
12,Catch Me If You Can,2002,https://boxd.it/29VS,
13,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
14,War of the Worlds,2005,https://boxd.it/2bde,
15,The Adventures of Tintin,2011,https://boxd.it/1Irc,
16,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
17,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
18,Duel,1971,https://boxd.it/29ui,
19,The Sugarland Express,1974,https://boxd.it/23la,
20,Munich,2005,https://boxd.it/2a0e,
21,Ready Player One,2018,https://boxd.it/aZes,
22,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
23,Indiana Jones and the Kingdom of the Crystal Skull,2008,https://boxd.it/2aR8,
24,Hook,1991,https://boxd.it/29nQ,
25,The Color Purple,1985,https://boxd.it/29oO,
26,Amistad,1997,https://boxd.it/1SZ4,
27,The Terminal,2004,https://boxd.it/2a2O,
28,Always,1989,https://boxd.it/1U3G,
29,Twilight Zone: The Movie,1983,https://boxd.it/1Mtw,
30,Savage,1973,https://boxd.it/3ITO,
31,1941,1979,https://boxd.it/1TF0,
32,Amblin',1968,https://boxd.it/3mdQ,
33,Something Evil,1972,https://boxd.it/31CK,
