Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-06-29,Superman: Ranked,,https://boxd.it/JnFPw,

Position,Name,Year,URL,Description
1,Super/Man: The Christopher Reeve Story,2024,https://boxd.it/GFuE,
2,Superman,2025,https://boxd.it/E9IU,
3,Superman II: The Richard Donner Cut,2006,https://boxd.it/n7Vy,
4,Superman II,1980,https://boxd.it/204q,
5,Superman,1978,https://boxd.it/27Qm,
6,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,
7,Superman Returns,2006,https://boxd.it/28J2,
8,Man of Steel,2013,https://boxd.it/FRk,
9,Superman III,1983,https://boxd.it/1YrM,
10,Superman IV: The Quest for Peace,1987,https://boxd.it/1TUk,
11,Supergirl,1984,https://boxd.it/1Y8A,
