Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-08-24,Upcoming MCU Projects Ranked by Anticipation,,https://boxd.it/dasje,

Position,Name,Year,URL,Description
1,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,
2,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,
3,Eternals,2021,https://boxd.it/j36o,
4,Thor: Love and Thunder,2022,https://boxd.it/mMAY,
5,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,
6,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,
7,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,
8,The Marvels,2023,https://boxd.it/mwU4,
9,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,
10,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,
11,The Guardians of the Galaxy Holiday Special,2022,https://boxd.it/t77K,
12,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
13,Captain America: Brave New World,2025,https://boxd.it/uYDm,
14,Werewolf by Night,2022,https://boxd.it/xMrO,
