Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-09-08,Venice Film Festival 2023 Ranked,,https://boxd.it/p2zhw,

Position,Name,Year,URL,Description
1,Poor Things,2023,https://boxd.it/tNWU,
2,Origin,2023,https://boxd.it/shJs,
3,Maestro,2023,https://boxd.it/j0DE,
4,Hit Man,2023,https://boxd.it/ANB2,
5,El Conde,2023,https://boxd.it/Bt4O,
6,The Killer,2023,https://boxd.it/u6WE,
7,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
8,Days of Heaven,1978,https://boxd.it/1JRg,
9,Priscilla,2023,https://boxd.it/Cz3k,
10,Evil Does Not Exist,2023,https://boxd.it/HJrc,
11,Finally Dawn,2023,https://boxd.it/CjMe,
12,Woman of...,2023,https://boxd.it/HJsk,
13,The Promised Land,2023,https://boxd.it/B1hA,
14,AGGRO DR1FT,2023,https://boxd.it/HJrw,
15,Enea,2023,https://boxd.it/E2vO,
16,The Caine Mutiny Court-Martial,2023,https://boxd.it/CuzA,
17,The Universal Theory,2023,https://boxd.it/z9fo,
18,Ferrari,2023,https://boxd.it/cEtq,
19,The Commander,2023,https://boxd.it/DCWu,
20,Adagio,2023,https://boxd.it/CE5U,
21,The Order of Time,2023,https://boxd.it/D1NU,
