Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-29,Venice Prep,,https://boxd.it/hBtNu,

Position,Name,Year,URL,Description
1,Marriage Story,2019,https://boxd.it/hJAw,
2,Frances Ha,2012,https://boxd.it/41Xg,
3,The Meyerowitz Stories (New and Selected),2017,https://boxd.it/dSp0,
4,The Squid and the Whale,2005,https://boxd.it/1VAG,
5,Mistress America,2015,https://boxd.it/9UfS,
6,While We're Young,2014,https://boxd.it/7oOs,
7,Kicking and Screaming,1995,https://boxd.it/1pHK,
8,Greenberg,2010,https://boxd.it/1rt6,
9,Lamerica,1994,https://boxd.it/GN4,
10,The Stolen Children,1992,https://boxd.it/K30,
11,Black Swan,2010,https://boxd.it/Sw0,
12,Requiem for a Dream,2000,https://boxd.it/29VI,
13,mother!,2017,https://boxd.it/dgRU,
14,The Wrestler,2008,https://boxd.it/1So8,
15,The Fountain,2006,https://boxd.it/28RU,
16,Pi,1998,https://boxd.it/2ajq,
17,Noah,2014,https://boxd.it/34QA,
18,Golden Door,2006,https://boxd.it/27Gm,
19,We,2021,https://boxd.it/tW8O,
20,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,
21,Killing Them Softly,2012,https://boxd.it/IQ,
22,Little Children,2006,https://boxd.it/28Ka,
23,Harmonium,2016,https://boxd.it/dJkg,
24,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
25,The Revenant,2015,https://boxd.it/8H5e,
26,Babel,2006,https://boxd.it/292o,
27,Citizenfour,2014,https://boxd.it/9eSe,
28,Titicut Follies,1967,https://boxd.it/ZVc,
29,The World Is Yours,2018,https://boxd.it/iehq,
30,Call Me by Your Name,2017,https://boxd.it/dYmm,
31,Suspiria,2018,https://boxd.it/cioI,
32,A Bigger Splash,2015,https://boxd.it/azgs,
33,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,
34,In Bruges,2008,https://boxd.it/20n8,
35,Seven Psychopaths,2012,https://boxd.it/34PW,
36,The Summit,2017,https://boxd.it/fEvM,
37,Miss Marx,2020,https://boxd.it/qJn6,
38,Hannah,2017,https://boxd.it/gLYI,
39,Taxi,2015,https://boxd.it/amS4,
40,The Father,2020,https://boxd.it/m8Ie,
41,Chocolat,2016,https://boxd.it/cOXA,
42,An Easy Girl,2019,https://boxd.it/l8fk,
