Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-28,Villeneuve: Ranked,,https://boxd.it/aBsRW,

Position,Name,Year,URL,Description
1,Dune: Part Two,2024,https://boxd.it/pUfA,
2,Dune,2021,https://boxd.it/fA7G,
3,Blade Runner 2049,2017,https://boxd.it/b8wK,
4,Arrival,2016,https://boxd.it/aNGk,
5,Incendies,2010,https://boxd.it/Msm,
6,Prisoners,2013,https://boxd.it/4E5i,
7,Sicario,2015,https://boxd.it/8i7u,
8,August 32nd on Earth,1998,https://boxd.it/hY2,
9,Enemy,2013,https://boxd.it/5xtO,
10,Maelström,2000,https://boxd.it/1caI,
