Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-28,Wallace and Gromit: Ranked,,https://boxd.it/Dw0RK,

Position,Name,Year,URL,Description
1,A Grand Day Out,1989,https://boxd.it/2acu,
2,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/z14C,
3,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,
4,The Wrong Trousers,1993,https://boxd.it/2ack,
5,A Close Shave,1995,https://boxd.it/2aca,
6,A Matter of Loaf and Death,2008,https://boxd.it/1O4S,
