Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-12-28,Wes Anderson: Ranked ✅,,https://boxd.it/aBsW8,

Position,Name,Year,URL,Description
1,The Royal Tenenbaums,2001,https://boxd.it/1YHU,
2,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
3,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,
4,Asteroid City,2023,https://boxd.it/s3ds,
5,Isle of Dogs,2018,https://boxd.it/dZrW,
6,The Swan,2023,https://boxd.it/Is80,
7,Moonrise Kingdom,2012,https://boxd.it/2Wng,
8,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,
9,The Phoenician Scheme,2025,https://boxd.it/H0Ca,
10,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
11,Poison,2023,https://boxd.it/Is7Q,
12,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,
13,The Darjeeling Limited,2007,https://boxd.it/24as,
14,Rushmore,1998,https://boxd.it/1TAO,
15,Cousin Ben Troop Screening,2012,https://boxd.it/49SS,
16,Bottle Rocket,1996,https://boxd.it/1PDa,
17,Hotel Chevalier,2007,https://boxd.it/21Ic,
18,The Rat Catcher,2023,https://boxd.it/Is8a,
19,Do You Like to Read?,2012,https://boxd.it/jMMY,
20,Castello Cavalcanti,2013,https://boxd.it/6WlM,
21,Bottle Rocket,1993,https://boxd.it/pP8,
