Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-05-27,X-Men/Fox Marvel: Ranked,,https://boxd.it/vMYum,

Position,Name,Year,URL,Description
1,Logan,2017,https://boxd.it/7Piy,
2,X-Men: First Class,2011,https://boxd.it/FOA,
3,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,
4,Deadpool & Wolverine,2024,https://boxd.it/jq8s,
5,Deadpool 2,2018,https://boxd.it/dlLM,
6,X-Men,2000,https://boxd.it/1a7s,
7,Fantastic Four,2005,https://boxd.it/1XVw,
8,Deadpool,2016,https://boxd.it/9fOC,
9,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,
10,Blade,1998,https://boxd.it/1a8A,
11,X2,2003,https://boxd.it/1a7i,
12,The Wolverine,2013,https://boxd.it/2CWU,
13,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,
14,Dark Phoenix,2019,https://boxd.it/anyO,
15,X-Men: Apocalypse,2016,https://boxd.it/7eJi,
16,Daredevil,2003,https://boxd.it/1YzG,
17,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,
18,Elektra,2005,https://boxd.it/1XsE,
19,The New Mutants,2020,https://boxd.it/bjle,
20,Fantastic Four,2015,https://boxd.it/5a9c,
