Date,Name,Year,Letterboxd URI,Rating
2019-06-01,Get Out,2017,https://boxd.it/eOCm,5
2019-06-01,La La Land,2016,https://boxd.it/a5fa,5
2019-06-01,Baby Driver,2017,https://boxd.it/bhF2,5
2019-06-01,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,5
2019-06-02,Us,2019,https://boxd.it/gnV6,4
2019-06-02,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2019-06-02,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,4
2019-06-02,Captain America: Civil War,2016,https://boxd.it/89Ja,5
2019-06-13,Annihilation,2018,https://boxd.it/9yzm,4
2019-06-13,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,5
2019-06-13,Coco,2017,https://boxd.it/bYJQ,4.5
2019-06-13,The Empire Strikes Back,1980,https://boxd.it/27Vw,5
2019-06-13,The Incredibles,2004,https://boxd.it/1XLm,5
2019-06-13,WALL·E,2008,https://boxd.it/1VEo,5
2019-06-13,Psycho,1960,https://boxd.it/2ab2,4
2019-06-13,Toy Story,1995,https://boxd.it/29qA,4
2019-06-13,Moana,2016,https://boxd.it/8tfY,4
2019-06-13,The Prestige,2006,https://boxd.it/293w,5
2019-06-13,Ratatouille,2007,https://boxd.it/27ww,4
2019-06-13,The Lego Movie,2014,https://boxd.it/4pDO,5
2019-06-13,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,5
2019-06-13,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,1
2019-06-13,Return of the Jedi,1983,https://boxd.it/27Vm,4.5
2019-06-13,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,3.5
2019-06-27,Arrival,2016,https://boxd.it/aNGk,4.5
2019-06-27,The Avengers,2012,https://boxd.it/1xFW,4.5
2019-06-27,A Star Is Born,2018,https://boxd.it/aXgc,4
2019-06-27,Zootopia,2016,https://boxd.it/84xS,4.5
2019-06-27,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,4.5
2019-06-27,Big Hero 6,2014,https://boxd.it/5rje,4.5
2019-06-27,Toy Story 3,2010,https://boxd.it/1WRe,4.5
2019-06-27,X2,2003,https://boxd.it/1a7i,3
2019-06-28,Aladdin,1992,https://boxd.it/29yE,4
2019-06-28,Tangled,2010,https://boxd.it/15gO,4
2019-06-28,Hacksaw Ridge,2016,https://boxd.it/azew,5
2019-06-28,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2019-06-28,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4.5
2019-06-28,The Amazing Spider-Man,2012,https://boxd.it/27PI,2.5
2019-06-28,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3
2019-06-28,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2019-06-28,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4.5
2019-06-28,The Emperor's New Groove,2000,https://boxd.it/1Tey,3
2019-06-28,The Goonies,1985,https://boxd.it/1YVC,4
2019-06-28,The Maze Runner,2014,https://boxd.it/5YPM,3
2019-06-28,The Simpsons Movie,2007,https://boxd.it/6YU,3.5
2019-06-28,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,4
2019-06-28,Spy,2015,https://boxd.it/71Ks,2
2019-06-28,Zoolander,2001,https://boxd.it/1YMA,3.5
2019-06-28,Chef,2014,https://boxd.it/6lCG,5
2019-06-28,Rango,2011,https://boxd.it/QPk,3
2019-06-28,Blockers,2018,https://boxd.it/fxEW,3
2019-08-17,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2019-08-20,The Dark Tower,2017,https://boxd.it/bU66,1
2019-08-25,Pulp Fiction,1994,https://boxd.it/29Pq,5
2019-08-29,The Darkest Minds,2018,https://boxd.it/fRBo,0.5
2019-09-11,Mulan,1998,https://boxd.it/1VFw,4
2019-09-11,Mary Poppins,1964,https://boxd.it/2aoA,4
