Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-08-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/N4Wq1,4.5,,"A solid Tarantino film where the characters are at the centre of the film, while sometimes lacking in plot, the interesting lives of the characters keeps you engaged. DiCaprio and Pitt’s portrayal as 2 people at the end of their careers contrasted by the hope and love for the career of Tate is a brilliant insight into the industry at the time and how people perceive themselves. Would have loved a scene between DiCaprio and Robbie which explored their differing circumstances though Robbie’s character never truly connects to the others.",,2019-08-17
2019-08-24,Good Boys,2019,https://boxd.it/Nk0j9,3,,"If you mix a coming of age movie with 12 year olds saying fuck for an hour and a half you get this, a funny movie",,2019-08-23
2019-10-09,Joker,2019,https://boxd.it/PLgZH,4.5,,"<i>Uneasy, disturbing, chilling.</i>
Phillip’s Joker is a well crafted exploration of how a marginalised person in society can crack under the constant oppression they face in the world. The entire movie is a showcase of Joaquin Phoenix’s incredible performance as the titular character, from the laugh alone Phoenix deserves to be accredited with some award. The emotion that is poured into every scene breaks your heart and you are found questioning how you should treat this character, is he deserving of sympathy? Aside from Joker himself, every single person in this movie is outstanding but especially Robert DeNiro, which every scene he’s in you’re enthralled.

The score of the film is equally incredible, adding eryness to ordinary scenes, which leaves a constant uneasy feeling in you. In addition the music used throughout the film is poignant and somehow manages to make otherwise happy music insurmountably creepy.

The story is complete and for the most part successfully shows the slow, downward spiral that leads to the breaking point of someone who lacks support from society yet this is where my small criticism lies with the film. Throughout the film there is a distinct focus on the mental health of Phoenix’s Arthur Fleck which ultimately I feel is fleshed out enough, there are subtleties to his past which explain the starting point of our main character’s mental state but never fully lands on a distinct message for the treatment of mental illness. Then there is the political message where the class system is examined and again the mistreatment of those marginalised by society is emphasised. The overall idea being that media puts a message behind events, they can’t just happen, they have to happen for a reason, such as a statement on the treatment of the working class, and on the whole the movie does a good job showing this. Yet my problem lies with where these two messages are supposed to combine, the whole message of Joker is not political nor is it to make a statement, it’s simply a deranged man getting back at his oppressors and while this is expressed explicitly in the film, I can’t help but feel the ending, no spoilers, turns this on it’s head and tries to add a message to his madness.
Having said this, Joker is an exquisite piece of cinema from the performances and music to the incredible cinematography and aesthetic of Gotham, captured perfectly. Joker isn’t a film about the Joker, at it’s core it’s a film about Arthur Fleck and how he decended into madness, to compare this to the likes of Heath Ledger’s Joker would be unfair as they’re completely different characters but both incredible in their own ways. While I did have a small problem with the overall message of the film, it by no means overshadows the film, it simply doesn’t mesh cohesively despite the parts being there. In sum, Joker is a great addition to the superhero genre and hopefully allows for more creative ventures in this genre.

And that laugh though.",,2019-10-08
2019-10-17,Joker,2019,https://boxd.it/QeHeh,4,Yes,That laugh 👏,,2019-10-16
2020-01-03,Cats,2019,https://boxd.it/VuLYF,0.5,,"The only reason to see this movie is Ian McKellen standing in a corner saying “meow meow meow”, I will never look at Gandalf the same",profile,2020-01-02
2020-02-05,Bombshell,2019,https://boxd.it/YxfEr,3,,I think Trump and women would be a longer book than all of GoT put together,,2020-02-04
2020-02-08,1917,2019,https://boxd.it/YLWNz,4.5,,"And that was 2 days in a 4 year war, fuck",,2020-02-07
2020-02-11,Parasite,2019,https://boxd.it/Z4ekV,5,,Bong Joon-Ho-My-God,,2020-02-10
2020-02-15,Sonic the Hedgehog,2020,https://boxd.it/Zo6Vf,2.5,,Sonic the Hedgehog sponsored by Olive Garden,,2020-02-14
2020-02-19,Little Women,2019,https://boxd.it/ZOeU7,5,,"One of the most wholesome, uplifting and inspiring films, Little Women masterfully displays complex female characters and also appeals to the masses in its raw way of picturing love and independence. Gerwig takes a real look at family and explores many positive and negative experiences that families go through which are emotionally charged but also very real and relatable. She also manages to the explore the idea of self worth and what we deem important to us and more interestingly <b>why</b> we deem it important at that time.

The acting, costume design, music and directing are all beautiful, an elegant modern refresh on a classic story",,2020-02-18
